,0,1,2,3,4,5,6
0, All right,How do we do this?  Okay.,  Here you go,"And, you know, yeah, please do that",But I really encourage everyone here to use Twitter,"Actually, it’s technically at 7.99, so slightly less","   And please subscribe to Twitter verified, eight bucks"
1,How do we do this?  Okay.,  Here you go,"And, you know, yeah, please do that",But I really encourage everyone here to use Twitter,"Actually, it’s technically at 7.99, so slightly less","   And please subscribe to Twitter verified, eight bucks",  I’m doing this right now.
2,But I really encourage everyone here to use Twitter,"Actually, it’s technically at 7.99, so slightly less","   And please subscribe to Twitter verified, eight bucks",  I’m doing this right now.,"  Also, please use Twitter.",Can I get a selfie with you? I post it on Twitter.,  Thank you very much
3,"Actually, it’s technically at 7.99, so slightly less","   And please subscribe to Twitter verified, eight bucks",  I’m doing this right now.,"  Also, please use Twitter.",Can I get a selfie with you? I post it on Twitter.,  Thank you very much,"You never know, that’s coming one day, we know it, is just a matter of time"
4,"   And please subscribe to Twitter verified, eight bucks",  I’m doing this right now.,"  Also, please use Twitter.",Can I get a selfie with you? I post it on Twitter.,  Thank you very much,"You never know, that’s coming one day, we know it, is just a matter of time",That the supercharger stations generate the energy during the day and then also have a localized battery pack so that people can charge at night so that the Tesla supercharging stations would continue to function even in a zombie apocalypse
5,  I’m doing this right now.,"  Also, please use Twitter.",Can I get a selfie with you? I post it on Twitter.,  Thank you very much,"You never know, that’s coming one day, we know it, is just a matter of time",That the supercharger stations generate the energy during the day and then also have a localized battery pack so that people can charge at night so that the Tesla supercharging stations would continue to function even in a zombie apocalypse,"But the long-term goal for our supercharger stations is that they all have solar, like Tesla solar, and batteries at them so that as many as possible are self-sustaining"
6,Can I get a selfie with you? I post it on Twitter.,  Thank you very much,"You never know, that’s coming one day, we know it, is just a matter of time",That the supercharger stations generate the energy during the day and then also have a localized battery pack so that people can charge at night so that the Tesla supercharging stations would continue to function even in a zombie apocalypse,"But the long-term goal for our supercharger stations is that they all have solar, like Tesla solar, and batteries at them so that as many as possible are self-sustaining",I think they actually are using that idea in London and some other cities,"  Well, thanks"
7,That the supercharger stations generate the energy during the day and then also have a localized battery pack so that people can charge at night so that the Tesla supercharging stations would continue to function even in a zombie apocalypse,"But the long-term goal for our supercharger stations is that they all have solar, like Tesla solar, and batteries at them so that as many as possible are self-sustaining",I think they actually are using that idea in London and some other cities,"  Well, thanks",And that would probably be the most cost-efficient way to roll out millions of charging stations all over the world.,"You could take some amount of those streetlights, which are half owned by utilities and half owned by cities, and repurpose that",And every streetlight has pervasive persistent electricity
8,"But the long-term goal for our supercharger stations is that they all have solar, like Tesla solar, and batteries at them so that as many as possible are self-sustaining",I think they actually are using that idea in London and some other cities,"  Well, thanks",And that would probably be the most cost-efficient way to roll out millions of charging stations all over the world.,"You could take some amount of those streetlights, which are half owned by utilities and half owned by cities, and repurpose that",And every streetlight has pervasive persistent electricity,"Because you may or may not know, there are 400 million existing streetlights in the world"
9,I think they actually are using that idea in London and some other cities,"  Well, thanks",And that would probably be the most cost-efficient way to roll out millions of charging stations all over the world.,"You could take some amount of those streetlights, which are half owned by utilities and half owned by cities, and repurpose that",And every streetlight has pervasive persistent electricity,"Because you may or may not know, there are 400 million existing streetlights in the world",Have you thought about doing it more efficiently and more economically and better for our ecosystem from an ESG perspective
10,"  Well, thanks",And that would probably be the most cost-efficient way to roll out millions of charging stations all over the world.,"You could take some amount of those streetlights, which are half owned by utilities and half owned by cities, and repurpose that",And every streetlight has pervasive persistent electricity,"Because you may or may not know, there are 400 million existing streetlights in the world",Have you thought about doing it more efficiently and more economically and better for our ecosystem from an ESG perspective,"  Given all the cars that you’re going to make, and I hope Ron’s right, whether it’s 10 million or 20 million, you’re going to need a lot of charging stations around the world"
11,And that would probably be the most cost-efficient way to roll out millions of charging stations all over the world.,"You could take some amount of those streetlights, which are half owned by utilities and half owned by cities, and repurpose that",And every streetlight has pervasive persistent electricity,"Because you may or may not know, there are 400 million existing streetlights in the world",Have you thought about doing it more efficiently and more economically and better for our ecosystem from an ESG perspective,"  Given all the cars that you’re going to make, and I hope Ron’s right, whether it’s 10 million or 20 million, you’re going to need a lot of charging stations around the world",Go ahead.
12,"And I’ve said, ‘our stock is too high’","And many times, I’ve recommended people ‘don’t invest in Tesla’","  Well, I actually rarely tried to convince anyone to invest in Tesla",Why should I invest in Tesla rather than Mercedes Benz?,"Meanwhile, Mercedes Benz, which now produces EVs, is selling at six times earnings and yielding 5%","  Tesla, as a publicly traded company, I think it’s down 40% or something from its high, is selling at 70 times earnings",But then people just ignore me and keep buying the stock for some reason.
13,"And many times, I’ve recommended people ‘don’t invest in Tesla’","  Well, I actually rarely tried to convince anyone to invest in Tesla",Why should I invest in Tesla rather than Mercedes Benz?,"Meanwhile, Mercedes Benz, which now produces EVs, is selling at six times earnings and yielding 5%","  Tesla, as a publicly traded company, I think it’s down 40% or something from its high, is selling at 70 times earnings",But then people just ignore me and keep buying the stock for some reason.,"And I’ve said, ‘our stock is too high’"
14,"  Well, I actually rarely tried to convince anyone to invest in Tesla",Why should I invest in Tesla rather than Mercedes Benz?,"Meanwhile, Mercedes Benz, which now produces EVs, is selling at six times earnings and yielding 5%","  Tesla, as a publicly traded company, I think it’s down 40% or something from its high, is selling at 70 times earnings",But then people just ignore me and keep buying the stock for some reason.,"And I’ve said, ‘our stock is too high’","And many times, I’ve recommended people ‘don’t invest in Tesla’"
15,Why should I invest in Tesla rather than Mercedes Benz?,"Meanwhile, Mercedes Benz, which now produces EVs, is selling at six times earnings and yielding 5%","  Tesla, as a publicly traded company, I think it’s down 40% or something from its high, is selling at 70 times earnings",But then people just ignore me and keep buying the stock for some reason.,"And I’ve said, ‘our stock is too high’","And many times, I’ve recommended people ‘don’t invest in Tesla’",I actually rarely tried to convince anyone to invest in Tesla
16,I thought you’d like that quote.,"  Elon, Seneca once said, every genius has a touch of madness",Questions?,Not Elon,I’m paying for it,You got to be in your seat in order to get the Teslas,"I gave an extra one once, I guess it was last time, but we’re not going to do that again"
17, Ourselves?,I’m talking about Tesla doing it.,"  No, we’ve never contemplated investing in Glencore",That’s why Glencore would announce ,  it,But it is looking increasingly like for some of the critical elements of batteries that Tesla will need to get into the mining business – mining and refining.,"Then that ended up being an asset because now we understood so much about the entire supply chain or what it took to build the car, so we were able to design a more integrated vehicle that actually needed far fewer parts and cost less and weighs less, and has higher performance"
